Category,Heading,Assigned To,Description
TRC Events,Hold Vice Chair-Team Captain meeting #1 ,"Chair, Chamber Staff","Your leadership is a vital part of your TRC team. It is imperative that they remain engaged with your volunteers throughout the campaign. They will be key to uncovering your volunteers’ activity and prospects.

History shows campaigns in which these meetings are held are more likely to reach or exceed goal.

During these meetings, you want each Team Captain to have a list from their team members of who they have contacted and what sponsorships and prospects that are currently working on. These specifics will let you know if any volunteers are working the same companies or sponsorships. It will also let you know if there are companies in your membership that haven’t been contacted and who you feel should be approached. It will also let you know if there are sponsorships that aren’t selling as quickly as you had hoped. This might lead you to plan a deep dive into the programs, initiatives, or events those sponsorships are attached to provide your volunteers with more information to allow them to better sell those sponsorships."
TRC Management,Report TRC progress #1,Chamber Staff,"To ensure that no CEO/business owner is left in an awkward position due to the lack of participation of their team, Team Captain, or volunteer, periodic reports should be provided to them. These reports make certain everyone is aware of volunteer productivity.

If volunteers and teams are doing a great job, send a screenshot of the team standing with a note congratulating the team and ask for the CEO/business owner’s help in sharing that congratulations.

If the volunteer or team isn’t doing as well (or hasn’t done anything thus far), send a screenshot of the team standing saying you wanted to make the CEO/business owner aware of the team progress. Nothing more needs to be said. Never point out that the team isn’t performing to expectations. The CEO/business owner can determine that on their own. Because you provided this information, the CEO/business owner will not be able to say they would have assisted had they been aware of the situation."
TRC Events,Hold Vice Chair-Team Captain meeting #2,"Chair, Chamber Staff","Your leadership is a vital part of your TRC team. It is imperative that they remain engaged with your volunteers throughout the campaign. They will be key to uncovering your volunteers’ activity and prospects.

History shows campaigns in which these meetings are held are more likely to reach or exceed goal.

During these meetings, you want each Team Captain to have a list from their team members of who they have contacted and what sponsorships and prospects that are currently working on. These specifics will let you know if any volunteers are working the same companies or sponsorships. It will also let you know if there are companies in your membership that haven’t been contacted and who you feel should be approached. It will also let you know if there are sponsorships that aren’t selling as quickly as you had hoped. This might lead you to plan a deep dive into the programs, initiatives, or events those sponsorships are attached to provide your volunteers with more information to allow them to better sell those sponsorships."
TRC Management,Report TRC progress #2,Chamber Staff,"To ensure that no CEO/business owner is left in an awkward position due to the lack of participation of their team, Team Captain, or volunteer, periodic reports should be provided to them. These reports make certain everyone is aware of volunteer productivity.

If volunteers and teams are doing a great job, send a screenshot of the team standing with a note congratulating the team and ask for the CEO/business owner’s help in sharing that congratulations.

If the volunteer or team isn’t doing as well (or hasn’t done anything thus far), send a screenshot of the team standing saying you wanted to make the CEO/business owner aware of the team progress. Nothing more needs to be said. Never point out that the team isn’t performing to expectations. The CEO/business owner can determine that on their own. Because you provided this information, the CEO/business owner will not be able to say they would have assisted had they been aware of the situation."
TRC Events,Hold Vice Chair-Team Captain meeting #3,"Chair, Chamber Staff","Your leadership is a vital part of your TRC team. It is imperative that they remain engaged with your volunteers throughout the campaign. They will be key to uncovering your volunteers’ activity and prospects.

History shows campaigns in which these meetings are held are more likely to reach or exceed goal.

During these meetings, you want each Team Captain to have a list from their team members of who they have contacted and what sponsorships and prospects that are currently working on. These specifics will let you know if any volunteers are working the same companies or sponsorships. It will also let you know if there are companies in your membership that haven’t been contacted and who you feel should be approached. It will also let you know if there are sponsorships that aren’t selling as quickly as you had hoped. This might lead you to plan a deep dive into the programs, initiatives, or events those sponsorships are attached to provide your volunteers with more information to allow them to better sell those sponsorships."
TRC Management,Report TRC progress #3,Chamber Staff,"To ensure that no CEO/business owner is left in an awkward position due to the lack of participation of their team, Team Captain, or volunteer, periodic reports should be provided to them. These reports make certain everyone is aware of volunteer productivity.

If volunteers and teams are doing a great job, send a screenshot of the team standing with a note congratulating the team and ask for the CEO/business owner’s help in sharing that congratulations.

If the volunteer or team isn’t doing as well (or hasn’t done anything thus far), send a screenshot of the team standing saying you wanted to make the CEO/business owner aware of the team progress. Nothing more needs to be said. Never point out that the team isn’t performing to expectations. The CEO/business owner can determine that on their own. Because you provided this information, the CEO/business owner will not be able to say they would have assisted had they been aware of the situation."
TRC Events,Plan Victory Party agenda ,Chamber Staff,"This is a celebration of your success – the success of the TRC, your chamber, the TRC leadership, and your volunteers. The focus should be on everyone’s accomplishments. The agenda should be very short – no more than 10 minutes – with the remainder of the time free for people to network and enjoy themselves.

The Victory Party is an excellent event to invite sponsors. Those volunteers who sold to the sponsors can use this as an additional business networking opportunity. You should also plan to invite your Board of Directors, any CEO/business owners of campaign volunteers, and the media.

DO NOT hand out checks or make trip announcements at this event, especially if the media or sponsors are attending. Those items of business may be handled at another time. This is about the campaign as a whole and how it positively benefitted the chamber, the member businesses, and the volunteers.
This is a celebration of your success – the success of the TRC, your chamber, the TRC leadership, and your volunteers. The focus should be on everyone’s accomplishments. The agenda should be very short – no more than 10 minutes – with the remainder of the time free for people to network and enjoy themselves.

The Victory Party is an excellent event to invite sponsors. Those volunteers who sold to the sponsors can use this as an additional business networking opportunity. You should also plan to invite your Board of Directors, any CEO/business owners of campaign volunteers, and the media.

DO NOT hand out checks or make trip announcements at this event, especially if the media or sponsors are attending. Those items of business may be handled at another time. This is about the campaign as a whole and how it positively benefitted the chamber, the member businesses, and the volunteers.
This is a celebration of your success – the success of the TRC, your chamber, the TRC leadership, and your volunteers. The focus should be on everyone’s accomplishments. The agenda should be very short – no more than 10 minutes – with the remainder of the time free for people to network and enjoy themselves.

The Victory Party is an excellent event to invite sponsors. Those volunteers who sold to the sponsors can use this as an additional business networking opportunity. You should also plan to invite your Board of Directors, any CEO/business owners of campaign volunteers, and the media.

DO NOT hand out checks or make trip announcements at this event, especially if the media or sponsors are attending. Those items of business may be handled at another time. This is about the campaign as a whole and how it positively benefitted the chamber, the member businesses, and the volunteers. "
MarComm,Send Victory Party invitations ,Chamber Staff,"These may be printed and mailed (or hand delivered) or sent via email, however you choose. If you have used a theme throughout your TRC, be sure to include the theme and logo in your Victory Party invitations."
TRC Events,Hold Victory Party ,"Chair, Chamber Staff",Celebrate! Enjoy your success!
MarComm,Send TRC conclusion announcement ,Chamber Staff,"When the TRC is complete and all your final numbers are calculated, sent an announcement to your local media to let them know of your success. You should also post this information to your chamber website and your social media platforms. "
Wrap-Up,Survey Volunteers ,Chamber Staff,"Your volunteers are your most valuable resource in a TRC. Knowing what motivated them, what challenges they faced, and what they gained from their involvement is vital information for your next TRC. The best way to gather this information is through surveys.

In the selection of possible questions to use in an email survey, select the ones that matter the most to you and your chamber. There is a Standard Survey and a Creative Survey. For optimal returns, select no more than 10 questions.

The easiest way to handle this is to send these via an online system such as Constant Contact or Survey Monkey. These services automatically compile results for you."
Wrap-Up,Schedule Focus Groups ,"YGM, Chamber Staff","You'll want to meet with some of your top performers to thank them for their involvement in the TRC. This is also a good time to ask them for some of their best tips for producing. You can use these tips for other volunteers in years to come.

A YGM representative will conduct these meetings and will provide you with input from the focus groups. YGM will meet with staff, Team Captains, and top performing volunteers."
Incentives-Trip,Create closed Facebook group for TRC Trip,Chamber Staff,"After the TRC is concluded, be sure to keep the energy high for those volunteers who earned the TRC trip. Use the Closed Facebook Trip Group to distribute information – passports needed, for instance – and be sure to provide them with that information in plenty of time for them to secure whatever is needed. Plan to use the group for a mix of important information and fun. You will also be able to share fun information about the trip location and generate excitement about the trip. They will be able to begin to interact with one another and build that bond with one another through this group page. It’s an excellent place to share photos during and after the trip as well."
Wrap-Up,Present TRC review to staff,,"After assessing the TRC, reviewing the Volunteer surveys, conducting the Focus Groups and preparing a general overview of what you hope for your next year's TRC, present a comprehensive review of this year's campaign along with a plan for growth next year to your staff. Ask for their input.

YGM recommends reviewing each of your programs, initiatives, and events through the year as they occur and making notes as to what worked best, what could be tweaked, what sponsorships sold and what didn’t, and what sponsorships might lend themselves to a cost increase or decrease."
Wrap-Up,Present TRC review & future plans to BOD ,"Chair, Chamber Staff","A TRC is best utilized when seen as a continuous strategic planning tool. After the TRC is complete and a general overview is finalized, present this information to your Board of Directors. Often, it is a great asset if the TRC Chair assists in the presentation of this report to the Board. Be clear in the successes and challenges you faced with the campaign as well as a plan for growth next year. Also, be sure to focus on how the TRC is an on-going strategic planning tool and detail how your staff will use it as such. "
Incentives-Trip,Victory Trip ,"Chair, Chamber Staff",HAVE FUN!!!!  Encourage everyone to volunteer again in the next TRC and win another trip.
